MIDDLESEX,308
OCEAN,284
BURLINGTON,249
ESSEX,247
CAMDEN,230
MONMOUTH,230
ATLANTIC,187
UNION,182
BERGEN,166
PASSAIC,160
GLOUCESTER,156
CUMBERLAND,143
MERCER,141
MORRIS,128
HUDSON,122
SOMERSET,119
SALEM,72
WARREN,69
SUSSEX,65
HUNTERDON,55
CAPE MAY,48
